ID,Code,Address/Intersection/Area,Latitude,Longitude,"Date of cleanup, inspection or posting",Staff hours,# staff members,Pieces of equipment used,Items to storage?,Hazmat,Yards of debris,Images?
367568,SFS30,Beltline/Division,44.0957213852818,-123.107693915019,Feb-21,0.5,1,1,No,,0,No
367569,SFS30,90 Silver Lane,44.0952835793301,-123.130216922574,Feb-21,1,1,1,No,,0,No
367575,SFS30,13th Ave/Bailey Hill,44.0445254270850,-123.148007255716,Feb-21,0.5,1,1,No,,0,No
367576,SFS30,Bailey Hill Road/Fern Ridge Path,44.0465127714015,-123.147951091497,Feb-21,0.5,1,1,No,,0,No
367582,SFS30,W 1th Ave/Bailey Hill,44.0480357791493,-123.147890416676,Feb-21,0.5,1,1,No,,0,No
367584,PFI10,Garfield,44.0422496590320,-123.120065672279,Feb-21,1.5,1,1,No,,0,Yes
367586,SFS30,I-105/Coburg,44.0633767968246,-123.077347419086,Feb-21,9.5,4,4,No,,0,No
367600,PFI10,AC,44.0478646760777,-123.157449907274,Feb-21,1.5,1,1,No,,0,Yes
367935,PFI10,AC,44.0479195599246,-123.157628722178,Feb-21,1,1,1,No,,0,Yes
368131,PFI11,Knickerbocker,44.0446694402262,-123.052374412876,Feb-21,1,1,0,No,,0,Yes
